dataset_id,cancer_type,histology,gene_id,symbol,theme,n_samples,mean_zscore,median_zscore,fraction_high_zscore
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,4233,MET,tumor_driver,484,1e-06,0.09255,0.092975
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,4288,MKI67,proliferation,484,1e-06,0.1001,0.117769
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,4318,MMP9,emt_invasion,484,-0.0,-0.0072,0.126033
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,4609,MYC,tumor_driver,484,0.0,0.111,0.136364
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,5133,PDCD1,immune_checkpoint,484,-0.00722,0.0395,0.163223
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,6279,S100A8,myeloid_inflammation,484,1e-06,0.01735,0.17562
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,6280,S100A9,myeloid_inflammation,484,2e-06,0.03505,0.169421
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,6615,SNAI1,emt_invasion,484,-1e-06,-0.0304,0.169421
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,6696,SPP1,myeloid_inflammation,484,-0.0,-0.02935,0.181818
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,6935,ZEB1,emt_invasion,484,-1e-06,0.08775,0.171488
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,7153,TOP2A,proliferation,484,-0.0,0.08685,0.134298
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,7422,VEGFA,hypoxia_angiogenesis,484,-0.0,-0.0298,0.142562
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,7431,VIM,emt_invasion,484,-1e-06,0.04375,0.157025
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,29126,CD274,immune_checkpoint,484,-2e-06,-0.1252,0.18595
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,84868,HAVCR2,immune_checkpoint,484,-1e-06,0.05455,0.167355
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,201633,TIGIT,immune_checkpoint,484,-0.009383,0.05625,0.157025
