dataset_id,sample_id,gene_id,expression_zscore
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,4233,0.7672
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,4288,0.6314
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,4318,-0.4955
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,4609,2.1089
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,5133,1.7046
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,567,1.0844
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,6279,-0.3927
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,6280,-0.5518
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,6615,1.3326
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,6696,0.8261
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,201633,0.3425
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,7153,1.0345
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,7422,1.085
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,7431,0.5391
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,6935,-0.3104
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,29126,1.6944
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,1493,0.4315
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,3576,1.0604
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,1956,-0.1804
luad_tcga_pan_can_atlas_2018,TCGA-05-4250-01,4072,0.439
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,238,0.4489
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,84868,1.3136
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,3091,-0.5712
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,3105,0.0588
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,3106,0.4117
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,3553,1.7825
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,3716,0.1982
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,3717,0.6601
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,3845,0.1888
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,3902,0.5743
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,4233,-0.9398
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,4288,-0.2047
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,4318,0.8392
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,4609,-0.795
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,5133,0.4468
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,567,0.5529
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,6279,0.1509
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,6280,0.117
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,6615,0.2285
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,6696,1.9991
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,201633,0.3719
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,7153,0.2286
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,7422,1.2968
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,7431,1.2339
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,6935,0.3092
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,29126,0.5444
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,1493,0.414
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,3576,1.7367
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,1956,-0.4061
luad_tcga_pan_can_atlas_2018,TCGA-05-4382-01,4072,-0.0084
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,238,0.0055
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,84868,0.1009
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,3091,-0.2717
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,3105,-1.3695
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,3106,-1.1883
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,3553,0.2556
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,3716,0.4289
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,3717,-0.4742
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,3845,-0.1884
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,3902,-1.3988
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,4233,0.1272
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,4288,-1.4011
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,4318,-0.0569
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,4609,-0.2409
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,5133,-0.872
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,567,-0.7433
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,6279,-0.0406
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,6280,0.1363
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,6615,-0.8466
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,6696,0.0135
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,201633,-1.2684
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,7153,-1.7905
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,7422,-0.3105
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,7431,-0.0754
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,6935,0.4929
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,29126,-0.6369
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,1493,-0.618
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,3576,-0.5721
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,1956,-0.4767
luad_tcga_pan_can_atlas_2018,TCGA-05-4384-01,4072,-1.1038
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,238,0.2489
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,84868,0.7357
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,3091,-0.1591
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,3105,0.9601
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,3106,0.8315
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,3553,-0.322
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,3716,-0.4992
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,3717,-0.529
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,3845,-0.1403
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,3902,0.823
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,4233,-0.9031
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,4288,0.0575
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,4318,0.5247
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,4609,0.6894
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,5133,0.8597
luad_tcga_pan_can_atlas_2018,TCGA-05-4389-01,567,0.586
