dataset_id,sample_id,gene_id,symbol,discrete_cna
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,6615,SNAI1,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,6696,SPP1,1
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,201633,TIGIT,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,7153,TOP2A,1
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,7422,VEGFA,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,7431,VIM,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,6935,ZEB1,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,29126,CD274,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,1493,CTLA4,1
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,3576,CXCL8,-1
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,1956,EGFR,1
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,4072,EPCAM,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,238,ALK,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,84868,HAVCR2,-1
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,3091,HIF1A,1
