dataset_id,cancer_type,histology,gene_id,symbol,theme,n_samples,deep_deletion_fraction,gain_fraction,amplification_fraction,altered_fraction
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,7431,VIM,emt_invasion,487,0.00616,0.186858,0.002053,0.603696
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,6935,ZEB1,emt_invasion,487,0.0,0.178645,0.00616,0.579055
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,6615,SNAI1,emt_invasion,487,0.002053,0.517454,0.008214,0.616016
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,4318,MMP9,emt_invasion,487,0.0,0.507187,0.01232,0.61191
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,6279,S100A8,myeloid_inflammation,487,0.0,0.49076,0.036961,0.568789
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,6280,S100A9,myeloid_inflammation,487,0.0,0.49076,0.036961,0.568789
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,3576,CXCL8,myeloid_inflammation,487,0.0,0.13963,0.022587,0.632444
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,3553,IL1B,myeloid_inflammation,487,0.0,0.371663,0.00616,0.445585
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,6696,SPP1,myeloid_inflammation,487,0.004107,0.086242,0.004107,0.644764
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,4288,MKI67,proliferation,487,0.004107,0.102669,0.002053,0.599589
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,7153,TOP2A,proliferation,487,0.004107,0.320329,0.01848,0.564682
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,7422,VEGFA,hypoxia_angiogenesis,487,0.0,0.281314,0.016427,0.49692
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,3091,HIF1A,hypoxia_angiogenesis,487,0.004107,0.250513,0.0,0.626283
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,3105,HLA-A,antigen_presentation,487,0.002053,0.23614,0.00616,0.49692
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,3106,HLA-B,antigen_presentation,487,0.002053,0.238193,0.004107,0.49076
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,567,B2M,antigen_presentation,487,0.01848,0.211499,0.0,0.552361
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,3716,JAK1,interferon_signaling,487,0.008214,0.13963,0.002053,0.537988
lusc_tcga_pan_can_atlas_2018,LUSC,lung squamous cell carcinoma,3717,JAK2,interferon_signaling,487,0.022587,0.154004,0.010267,0.821355
